c.Index,Year/Term,Academic Session,Event ID,Event Long Name,Event Sub Type,Section,Campus,College,Department,Program,Instructors Teaching,Section Enroll. Status (Enr),Day/Time/Location,Credits,Start Date,End Date,Enrollment,Max Enrollment,Open Seats
1,Fall 2025,010TRAD,ACCT 205,Financial Accounting for Decision-Making,LECT,F1,Burbank,BUS,ACCT,UNDERG,Dr. Dakota Jones,Open (Enrollment > 0),Tuesday Thursday from 14:45-16:00 in BB BB202,3,9/2/25,12/20/25,5,24.0,19.0
2,Fall 2025,010TRAD,ACCT 206,Managerial Accountng for Decision-Making,LECT,F1,Burbank,BUS,ACCT,UNDERG,Dr. Harper Davis,Open (Enrollment > 0),Monday Wednesday from 16:15-17:30 in BB BB202,3,9/2/25,12/20/25,4,20.0,16.0
3,Fall 2025,010TRAD,ARCH 101,Studio One,STU,F1,Burbank,ARCH,ARCH,UNDERG,Dr. Jamie Johnson,Open (Enrollment > 0),Tuesday Friday from 13:15-18:15 in AB AB107,6,9/2/25,12/20/25,59,64.0,5.0
4,Fall 2025,010TRAD,ARCH 122,Build One: Intro to Materials & Methods,LECT,F1,Burbank,ARCH,ARCH,UNDERG,Dr. Parker Brown,Open (Enrollment > 0),Tue Fri from 9:00-11:30 in WH WH130,3,9/2/25,12/20/25,2,12.0,10.0
5,Fall 2025,010TRAD,ARCH 201,Studio Three,STU,F1,Burbank,ARCH,ARCH,UNDERG,Dr. Morgan Miller,Open (Enrollment > 0),Tuesday Friday from 13:15-18:15 in AB AB103,6,9/2/25,12/20/25,61,66.0,5.0
6,Fall 2025,010TRAD,ARCH 241,Criticism One: World Arch & Urbanism 1,LECT,F1,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Johnson,Closed (Enrollment > 0),Tuesday Thursday from 9:00-10:15 in NB NB100,3,9/2/25,12/20/25,24,24.0,0.0
7,Fall 2025,010TRAD,ARCH 241,Criticism One: World Arch & Urbanism 1,LECT,F2,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Johnson,Open (Enrollment > 0),Tuesday Thursday from 10:30-11:45 in NB NB100,3,9/2/25,12/20/25,22,24.0,2.0
8,Fall 2025,010TRAD,ARCH 241,Criticism One: World Arch & Urbanism 1,LECT,OS1,Burbank,ARCH,ARCH,UNDERG,Dr. Taylor Garcia,Closed (Enrollment > 0),Monday Wednesday from 10:30-11:45,3,9/2/25,12/20/25,24,24.0,0.0
9,Fall 2025,010TRAD,ARCH 262,Professional Practice 1,LECT,HY1,Burbank,ARCH,ARCH,UNDERG,Dr. Quinn Wilson,Open (Enrollment > 0),Monday Wednesday from 17:40-18:55 in BB BB210,3,9/2/25,12/20/25,30,35.0,5.0
10,Fall 2025,010TRAD,ARCH 262,Professional Practice 1,LECT,HY2,Burbank,ARCH,ARCH,UNDERG,Dr. Quinn Wilson,Closed (Enrollment > 0),Monday Wednesday from 19:00-20:15 in BB BB210,3,9/2/25,12/20/25,35,35.0,0.0
11,Fall 2025,010TRAD,ARCH 301,Studio Five,STU,F1,Burbank,ARCH,ARCH,UNDERG,Dr. Reese Jones,Open (Enrollment > 0),Tuesday Friday from 13:15-18:15 in NB NB104,6,9/2/25,12/20/25,82,84.0,2.0
12,Fall 2025,010TRAD,ARCH 321,Build Two: Introduction to Structures,LECT,HY1,Burbank,ARCH,ARCH,UNDERG,Dr. Rowan Taylor,Open (Enrollment > 0),Monday Wednesday from 17:40-18:55 in BB BB101,3,9/2/25,12/20/25,79,80.0,1.0
13,Fall 2025,010TRAD,ARCH 321,Build Two: Introduction to Structures,LECT,HY2,Burbank,ARCH,ARCH,UNDERG,Dr. Peyton Davis,Open (Enrollment > 0),Monday Wednesday from 16:15-17:30 in BB BB209,3,9/2/25,12/20/25,11,30.0,19.0
14,Fall 2025,010TRAD,ARCH 341,Criticism Three: Arch Theory,LECT,HY1,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Jackson,Open (Enrollment > 0),Monday Wednesday from 10:30-11:45 in MH MH111,3,9/2/25,12/20/25,23,24.0,1.0
15,Fall 2025,010TRAD,ARCH 341,Criticism Three: Arch Theory,LECT,HY2,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Jackson,Closed (Enrollment > 0),Monday Wednesday from 13:15-14:30 in MH MH111,3,9/2/25,12/20/25,25,24.0,-1.0
16,Fall 2025,010TRAD,ARCH 341,Criticism Three: Arch Theory,LECT,HY3,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Jackson,Open (Enrollment > 0),Monday Wednesday from 9:00-10:15 in MH MH111,3,9/2/25,12/20/25,22,24.0,2.0
17,Fall 2025,010TRAD,ARCH 341,Criticism Three: Arch Theory,LECT,OS1,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Jackson,Closed (Enrollment > 0),Monday from 19:00-21:30,3,9/2/25,12/20/25,25,24.0,-1.0
18,Fall 2025,010TRAD,ARCH 342,Criticism Four: Contemporary Issues,LECT,F1,Burbank,ARCH,ARCH,UNDERG,Dr. Casey Martin,Open (Enrollment > 0),Thursday from 13:15-15:45 in BB BB207,3,9/2/25,12/20/25,9,18.0,9.0
19,Fall 2025,010TRAD,ARCH 342,Criticism Four: Contemporary Issues,LECT,F2,Burbank,ARCH,ARCH,UNDERG,Dr. Reese Moore,Open (Enrollment > 0),Wednesday from 13:15-15:45 in WH WH130,3,9/2/25,12/20/25,6,18.0,12.0
20,Fall 2025,010TRAD,ARCH 342,Criticism Four: Contemporary Issues,LECT,F3,Burbank,ARCH,ARCH,UNDERG,Dr. Harper Garcia,Open (Enrollment > 0),Wednesday from 9:00-11:30 in NB NB100,3,9/2/25,12/20/25,8,12.0,4.0
